tahun,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,lahir_hidup_laki,lahir_hidup_perempuan,lahir_mati_laki,lahir_mati_perempuan
2018,32,JAWA BARAT,3201,KABUPATEN BOGOR,58209,59141,75,69
2018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,34836,33129,49,28
2018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15769,14822,112,75
2018,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3166,2946,34,10
2018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10656,9984,26,26
2018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9982,9226,56,48
2018,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17684,17023,75,64
2018,32,JAWA BARAT,3213,KABUPATEN SUBANG,15567,15402,83,51
2018,32,JAWA BARAT,3216,KABUPATEN BEKASI,40073,32794,12,7
2018,32,JAWA BARAT,3271,KOTA BOGOR,9954,9715,18,12
2018,32,JAWA BARAT,3272,KOTA SUKABUMI,3001,2996,14,10
2018,32,JAWA BARAT,3273,KOTA BANDUNG,20536,20465,25,17
2018,32,JAWA BARAT,3274,KOTA CIREBON,2960,2692,22,6
2018,32,JAWA BARAT,3275,KOTA BEKASI,23322,23991,16,9
2018,32,JAWA BARAT,3276,KOTA DEPOK,22008,21219,22,19
2018,32,JAWA BARAT,3277,KOTA CIMAHI,5306,5461,30,30
2018,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6022,5994,3,1
2019,32,JAWA BARAT,3201,KABUPATEN BOGOR,59446,58749,93,74
2019,32,JAWA BARAT,3204,KABUPATEN BANDUNG,34844,32923,44,46
2019,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15822,14902,102,77
2019,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3085,2989,27,26
2019,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10545,9892,30,24
2019,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9613,9200,5,6
2019,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18328,16257,94,57
2019,32,JAWA BARAT,3213,KABUPATEN SUBANG,16005,15913,54,41
2019,32,JAWA BARAT,3216,KABUPATEN BEKASI,43854,35880,14,21
2019,32,JAWA BARAT,3271,KOTA BOGOR,9991,10204,67,57
2019,32,JAWA BARAT,3272,KOTA SUKABUMI,3192,2884,8,7
2019,32,JAWA BARAT,3273,KOTA BANDUNG,19489,22345,50,68
2019,32,JAWA BARAT,3274,KOTA CIREBON,2867,2624,19,13
2019,32,JAWA BARAT,3275,KOTA BEKASI,24020,25525,146,127
2019,32,JAWA BARAT,3276,KOTA DEPOK,22234,21622,21,18
2019,32,JAWA BARAT,3277,KOTA CIMAHI,5362,5443,21,18
2019,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5962,5748,3,2
2020,32,JAWA BARAT,3201,KABUPATEN BOGOR,55693,57859,42,71
2020,32,JAWA BARAT,3204,KABUPATEN BANDUNG,34664,32238,37,35
2020,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15487,14870,87,62
2020,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3131,2964,20,21
2020,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10819,10148,33,30
2020,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9924,9136,52,44
2020,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15356,14698,57,43
2020,32,JAWA BARAT,3213,KABUPATEN SUBANG,16796,16380,66,38
2020,32,JAWA BARAT,3216,KABUPATEN BEKASI,39312,38074,10,6
2020,32,JAWA BARAT,3271,KOTA BOGOR,9504,9238,30,20
2020,32,JAWA BARAT,3272,KOTA SUKABUMI,3187,2965,17,10
2020,32,JAWA BARAT,3273,KOTA BANDUNG,17239,17127,31,17
2020,32,JAWA BARAT,3274,KOTA CIREBON,2764,2399,15,11
2020,32,JAWA BARAT,3275,KOTA BEKASI,22436,23641,30,19
2020,32,JAWA BARAT,3276,KOTA DEPOK,22551,21929,14,17
2020,32,JAWA BARAT,3277,KOTA CIMAHI,5202,5159,19,22
2020,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5980,5850,9,6
